Sector,Periodo,Indice_d_100,Indice_d+180_100,Rent_indice
Industrials,2013Q4,117.01355633757588,122.34793621010242,4.558770829199673
Industrials,2014Q1,118.36695742369444,120.65456265833987,1.93263836837248
Industrials,2014Q2,119.28573929414473,124.05036940271025,3.9942998524043816
Industrials,2014Q3,121.89838741236778,130.09087789419482,6.720753781682788
Industrials,2014Q4,127.99662068896467,123.23742639304065,-3.7182187078899602
Industrials,2015Q1,129.24390311083133,123.67096894107388,-4.311951307272466
Industrials,2015Q2,126.03977232365253,112.66674413872848,-10.610165298128265
Industrials,2015Q3,123.53894633603292,122.61196626673691,-0.7503545212167921
Industrials,2015Q4,115.86133013250117,130.19372147272736,12.370297599583395
Industrials,2016Q1,122.83292139800366,130.51221562661286,6.251820880923859
Industrials,2016Q2,128.52744206656868,146.12858837397008,13.694465574351938
Industrials,2016Q3,130.05095509149467,151.29743552196342,16.33704298097713
Industrials,2016Q4,148.63831604984134,156.28593815418807,5.145121599589672
Industrials,2017Q1,151.90985373235708,165.82272226386843,9.158634670285295
Industrials,2017Q2,157.78599359392294,176.8575669832569,12.086987542390148
Industrials,2017Q3,165.47460958727984,174.94279434260756,5.721835379423396
Industrials,2017Q4,173.53739291755969,191.52944511914822,10.367824420490052
Industrials,2018Q1,174.83311128525006,180.1146223703381,3.0208872028084954
Industrials,2018Q2,187.97219365816093,182.31150860436088,-3.0114480996558086
Industrials,2018Q3,180.71161809883355,202.87592475329524,12.265014771955464
Industrials,2018Q4,193.1406094095397,214.19254596914777,10.899798143936195
Industrials,2019Q1,186.45624559612483,211.76534491758227,13.57374714938669
Industrials,2019Q2,182.10454672032031,219.6969980521444,20.643334836421914
