Periodo,Rentabilidad,Tipo,Sector,Rent_indice
2016Q3,0.7797264181373365,Cartera,Energy,3.32120538316282
2016Q4,-3.173017173426322,Cartera,Energy,-16.35064086645552
2017Q1,-8.833006142589323,Cartera,Energy,-1.7058143864409203
2017Q2,18.389161805926456,Cartera,Energy,14.107515195533892
2017Q3,23.4935517744523,Cartera,Energy,7.734179915081028
2017Q4,41.04304242435334,Cartera,Energy,13.10978498167209
2018Q1,-1.532640723490188,Cartera,Energy,-6.353094698823625
2018Q2,-16.768837949848358,Cartera,Energy,-17.100456276234187
2018Q3,4.200748140663185,Cartera,Energy,-2.773688609337654
2018Q4,-16.821233523752973,Cartera,Energy,-12.314615016515999
2016Q3,22.713540252185798,Cartera,Technology,26.21902837770925
2016Q4,23.997491000937334,Cartera,Technology,14.74242612540526
2017Q1,29.044911883242914,Cartera,Technology,14.643830068737545
2017Q2,19.242658154949794,Cartera,Technology,10.982939858999515
2017Q3,18.961072981236754,Cartera,Technology,6.243836647100097
2017Q4,10.178859314861992,Cartera,Technology,13.46989776653993
2018Q1,7.026061385286872,Cartera,Technology,1.86114749221062
2018Q2,-15.307255657506598,Cartera,Technology,-6.223829766733174
2018Q3,12.43710564932829,Cartera,Technology,4.363271725634888
2018Q4,-3.9904272433821744,Cartera,Technology,-1.5874855452139232
2016Q3,3.5298932848800346,Cartera,Healthcare,12.645788118907163
2016Q4,14.26893042745501,Cartera,Healthcare,13.015996871142914
2017Q1,6.613248844505868,Cartera,Healthcare,17.794434006008142
2017Q2,4.620491027665901,Cartera,Healthcare,18.158180501525482
2017Q3,17.001209291269184,Cartera,Healthcare,10.637816704783075
2017Q4,0.15475001736894017,Cartera,Healthcare,14.147483184212065
2018Q1,3.489164375613167,Cartera,Healthcare,4.6836349551240195
2018Q2,2.678774474147983,Cartera,Healthcare,-4.906961448738542
2018Q3,-0.4972718496820729,Cartera,Healthcare,-0.782593546259605
2018Q4,8.546805465513097,Cartera,Healthcare,-0.7480250532634329
2016Q3,18.57144880940838,Cartera,Industrials,16.33704298097713
2016Q4,11.730690898381246,Cartera,Industrials,5.145121599589672
2017Q1,10.651181680310106,Cartera,Industrials,9.158634670285297
2017Q2,15.264104964619884,Cartera,Industrials,12.08698754239015
2017Q3,7.672868851813709,Cartera,Industrials,5.721835379423396
2017Q4,5.0291280872171535,Cartera,Industrials,10.367824420490052
2018Q1,3.9405097313251947,Cartera,Industrials,3.0208872028084954
2018Q2,-8.921997303447037,Cartera,Industrials,-3.0114480996558086
2018Q3,5.735937683975661,Cartera,Industrials,12.265014771955464
2018Q4,4.427498901472657,Cartera,Industrials,10.899798143936195
