Sector,Periodo,Indice_d_100,Indice_d+180_100,Rent_indice
Technology,2013Q4,117.17908381421496,116.22263524364422,-0.8162280668512238
Technology,2014Q1,110.60490147865265,117.00110692258833,5.782931279198493
Technology,2014Q2,113.72091733939043,127.9019341456093,12.470016192269043
Technology,2014Q3,115.70735882000302,146.40981367868886,26.534574094329884
Technology,2014Q4,146.85216174324643,146.53315792184063,-0.2172278689118201
Technology,2015Q1,147.7727080634967,151.3725002515451,2.4360331723105446
Technology,2015Q2,151.70005623306338,134.30477488783535,-11.466891824023392
Technology,2015Q3,151.05282515035836,134.36235314823375,-11.0494272354793
Technology,2015Q4,133.25208482332027,141.89845952350709,6.488735025535306
Technology,2016Q1,134.21659904947097,149.11989069084174,11.103910952085414
Technology,2016Q2,138.44794380815787,169.35848189859576,22.32646960309461
Technology,2016Q3,147.09969425109912,185.66780483031835,26.21902837770925
Technology,2016Q4,175.11661562581546,200.9330533177612,14.74242612540526
Technology,2017Q1,187.5739582826795,215.04196998679973,14.643830068737543
Technology,2017Q2,200.79604345825942,222.84935215053056,10.982939858999515
Technology,2017Q3,214.5824323291798,227.98060887718788,6.243836647100096
Technology,2017Q4,222.47807167427098,252.4456404817647,13.46989776653993
Technology,2018Q1,229.6659768753935,233.94039944447093,1.8611474922106197
Technology,2018Q2,246.7292494803567,231.37324100796093,-6.223829766733175
Technology,2018Q3,234.23207396640356,244.45225582214786,4.363271725634888
Technology,2018Q4,247.38182216605097,243.4546714976781,-1.587485545213923
Technology,2019Q1,233.2154981436935,248.0817994073192,6.37449113886332
Technology,2019Q2,227.78816404451513,246.51425617441407,8.220836323277723
