Periodo,Indice_d_100,Indice_d+180_100,Rent_indice
2011Q2,85.44026338236547,97.36746247693101,13.959693735011669
2011Q3,86.15483931362441,102.37245514917485,18.823801384521673
2011Q4,97.3572173930409,101.20671028489176,3.953988204397902
2012Q1,102.19540154843277,104.49314163036433,2.2483791316604567
2012Q2,100.41704919438459,112.94184227721765,12.47277547320465
2012Q3,102.80463740148613,118.7499038987643,15.510259945771338
2012Q4,114.19716674825492,135.8663921429925,18.9752740910875
2013Q1,119.31446553335448,143.32725270731657,20.125629416870083
2013Q2,139.42103731674158,145.88959252847437,4.639583334211821
2013Q3,144.32437329426665,148.77035485751605,3.0805479779803875
2013Q4,150.9517377407508,153.82312219742127,1.902187082868764
2014Q1,149.45076298898667,158.29312425185114,5.916571508916334
2014Q2,150.38960417957563,154.31519663422932,2.6102817917960977
2014Q3,160.7174557277282,166.20402111990052,3.41379557517827
2014Q4,162.51780253526,168.71601285728207,3.8138654506341396
2015Q1,166.85958570777402,177.1465746853863,6.165057244974932
2015Q2,179.18186197417444,153.2303521415773,-14.483335281077473
2015Q3,179.37695382511637,167.93004734941093,-6.381481138800922
2015Q4,152.6176388833247,175.8311837273351,15.210263383616493
2016Q1,166.19541772504593,183.17891637029604,10.218993325885577
2016Q2,171.41595324853574,232.3925051488887,35.57227360976324
2016Q3,186.2575874992521,233.65366737687873,25.44652301899751
2016Q4,241.39906272585577,227.69376995730164,-5.677442411662767
2017Q1,234.0579449848631,249.17309609206688,6.457867135499839
2017Q2,235.784917203678,271.0404548940326,14.952414305576582
2017Q3,246.26390187323645,270.2015503675141,9.720323730840363
2017Q4,269.46788079434356,280.94400408621004,4.258809346047812
2018Q1,270.7457036527068,242.84213856286848,-10.306189429188876
2018Q2,277.5974485970764,235.4927994266477,-15.167520228740358
2018Q3,245.86525766755608,247.72305208196977,0.7556148567056482
2018Q4,241.12923007425044,234.96391632202597,-2.5568504284304225
