Sector,Periodo,Indice_d_100,Indice_d+180_100,Rent_indice
Energy,2013Q4,107.11909696992575,121.1728830848373,13.119776503397176
Energy,2014Q1,113.01993523109198,100.07817022694307,-11.450869245046775
Energy,2014Q2,120.57168106627486,92.52822140424334,-23.25874485121993
Energy,2014Q3,103.72867080720741,98.38665929019278,-5.149985510701683
Energy,2014Q4,95.19397400358012,76.73270423162505,-19.39331766027624
Energy,2015Q1,94.21372471846912,77.51856776404563,-17.72051471726887
Energy,2015Q2,80.92204041525216,59.52554041020236,-26.44088050085425
Energy,2015Q3,78.22151003496933,72.30511394549193,-7.5636434106583295
Energy,2015Q4,59.641831140823335,76.1801750537808,27.72943686773793
Energy,2016Q1,70.96983336627305,75.93616100530069,6.9978009014007085
Energy,2016Q2,72.5990356572893,85.9392715648532,18.37522466625832
Energy,2016Q3,75.53864206309802,78.04743550966573,3.3212053831628197
Energy,2016Q4,83.78404606521195,70.08481758970349,-16.35064086645552
Energy,2017Q1,77.05901321378875,75.74452948033853,-1.7058143864409203
Energy,2017Q2,73.53037982499922,83.90368933214476,14.107515195533892
Energy,2017Q3,76.77670055922277,82.71474871333608,7.734179915081029
Energy,2017Q4,75.93599346602642,85.89103893311905,13.109784981672092
Energy,2018Q1,82.94859712187998,77.67879419538126,-6.353094698823625
Energy,2018Q2,87.02319803401757,72.14183410402971,-17.100456276234183
Energy,2018Q3,78.34375285813323,76.17074110897954,-2.773688609337654
Energy,2018Q4,73.82593226040109,64.7345529201788,-12.314615016516
Energy,2019Q1,74.57540069609128,69.69078474524753,-6.5499023877182765
Energy,2019Q2,70.77616584174704,64.96462853564503,-8.211150232546359
