Periodo,Rentabilidad,Tipo,Sector,Rent_indice
2016Q3,10.920987320205032,Cartera,Energy,3.32120538316282
2016Q4,-7.268324370447099,Cartera,Energy,-16.35064086645552
2017Q1,-8.365318539788387,Cartera,Energy,-1.7058143864409203
2017Q2,-0.35785456133767213,Cartera,Energy,14.107515195533892
2017Q3,-1.3485602123201321,Cartera,Energy,7.734179915081028
2017Q4,24.717313192771485,Cartera,Energy,13.10978498167209
2018Q1,-6.192772121031969,Cartera,Energy,-6.353094698823625
2018Q2,-0.2703016641630751,Cartera,Energy,-17.100456276234187
2018Q3,-3.56256461067864,Cartera,Energy,-2.773688609337654
2018Q4,-2.939212950894269,Cartera,Energy,-12.314615016515999
2016Q3,24.437722654558748,Cartera,Technology,26.21902837770925
2016Q4,10.85484401674142,Cartera,Technology,14.74242612540526
2017Q1,20.227801875041642,Cartera,Technology,14.643830068737545
2017Q2,13.24292683296363,Cartera,Technology,10.982939858999515
2017Q3,4.802817393830173,Cartera,Technology,6.243836647100097
2017Q4,12.475406013867437,Cartera,Technology,13.46989776653993
2018Q1,-6.302932751162776,Cartera,Technology,1.86114749221062
2018Q2,4.23905275257725,Cartera,Technology,-6.223829766733174
2018Q3,11.544676176395914,Cartera,Technology,4.363271725634888
2018Q4,12.573408676127668,Cartera,Technology,-1.5874855452139232
2016Q3,14.109441242952613,Cartera,Healthcare,12.645788118907163
2016Q4,-3.1118611980517805,Cartera,Healthcare,13.015996871142914
2017Q1,10.454831908030085,Cartera,Healthcare,17.794434006008142
2017Q2,30.25775877061762,Cartera,Healthcare,18.158180501525482
2017Q3,8.991849505672722,Cartera,Healthcare,10.637816704783075
2017Q4,-1.0067348495963093,Cartera,Healthcare,14.147483184212065
2018Q1,5.88772436260287,Cartera,Healthcare,4.6836349551240195
2018Q2,-15.336750873324249,Cartera,Healthcare,-4.906961448738542
2018Q3,-0.3848474899284558,Cartera,Healthcare,-0.782593546259605
2018Q4,11.08318960664812,Cartera,Healthcare,-0.7480250532634329
2016Q3,21.114970302114358,Cartera,Industrials,16.33704298097713
2016Q4,0.03007648506637628,Cartera,Industrials,5.145121599589672
2017Q1,11.892499839754066,Cartera,Industrials,9.158634670285297
2017Q2,12.30015071364126,Cartera,Industrials,12.08698754239015
2017Q3,5.818318387876078,Cartera,Industrials,5.721835379423396
2017Q4,3.0409583877714055,Cartera,Industrials,10.367824420490052
2018Q1,3.7197230221567485,Cartera,Industrials,3.0208872028084954
2018Q2,-4.837129451713194,Cartera,Industrials,-3.0114480996558086
2018Q3,6.8395475505776915,Cartera,Industrials,12.265014771955464
2018Q4,2.512024299221261,Cartera,Industrials,10.899798143936195
