Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,463.364014,463.364014,463.364014,463.364014,463.364014,0
2008-01-03,459.412994,459.412994,459.412994,459.412994,459.412994,0
2008-01-04,446.221008,446.221008,446.221008,446.221008,446.221008,0
2008-01-07,448.487000,448.487000,448.487000,448.487000,448.487000,0
2008-01-08,432.351013,432.351013,432.351013,432.351013,432.351013,0
2008-01-09,438.864014,438.864014,438.864014,438.864014,438.864014,0
2008-01-10,448.451996,448.451996,448.451996,448.451996,448.451996,0
2008-01-11,446.858002,446.858002,446.858002,446.858002,446.858002,0
2008-01-14,450.549011,450.549011,450.549011,450.549011,450.549011,0
2008-01-15,434.858002,434.858002,434.858002,434.858002,434.858002,0
2008-01-16,440.391998,440.391998,440.391998,440.391998,440.391998,0
2008-01-17,420.949005,420.949005,420.949005,420.949005,420.949005,0
2008-01-18,413.647003,413.647003,413.647003,413.647003,413.647003,0
2008-01-22,423.186005,423.186005,423.186005,423.186005,423.186005,0
2008-01-23,452.175995,452.175995,452.175995,452.175995,452.175995,0
2008-01-24,453.877991,453.877991,453.877991,453.877991,453.877991,0
2008-01-25,443.488007,443.488007,443.488007,443.488007,443.488007,0
2008-01-28,458.565002,458.565002,458.565002,458.565002,458.565002,0
2008-01-29,464.457001,464.457001,464.457001,464.457001,464.457001,0
2008-01-30,458.996002,458.996002,458.996002,458.996002,458.996002,0
2008-01-31,471.730011,471.730011,471.730011,471.730011,471.730011,0
2008-02-01,481.140991,481.140991,481.140991,481.140991,481.140991,0
2008-02-04,469.654999,469.654999,469.654999,469.654999,469.654999,0
2008-02-05,449.515991,449.515991,449.515991,449.515991,449.515991,0
2008-02-06,444.501007,444.501007,444.501007,444.501007,444.501007,0
2008-02-07,451.884003,451.884003,451.884003,451.884003,451.884003,0
2008-02-08,441.981995,441.981995,441.981995,441.981995,441.981995,0
2008-02-11,434.140991,434.140991,434.140991,434.140991,434.140991,0
2008-02-12,439.846985,439.846985,439.846985,439.846985,439.846985,0
2008-02-13,443.322998,443.322998,443.322998,443.322998,443.322998,0
2008-02-14,434.811005,434.811005,434.811005,434.811005,434.811005,0
2008-02-15,437.536011,437.536011,437.536011,437.536011,437.536011,0
2008-02-19,433.860992,433.860992,433.860992,433.860992,433.860992,0
2008-02-20,440.539001,440.539001,440.539001,440.539001,440.539001,0
2008-02-21,434.223999,434.223999,434.223999,434.223999,434.223999,0
2008-02-22,440.692993,440.692993,440.692993,440.692993,440.692993,0
2008-02-25,446.157990,446.157990,446.157990,446.157990,446.157990,0
2008-02-26,447.252014,447.252014,447.252014,447.252014,447.252014,0
2008-02-27,449.916992,449.916992,449.916992,449.916992,449.916992,0
2008-02-28,436.898010,436.898010,436.898010,436.898010,436.898010,0
2008-02-29,420.653015,420.653015,420.653015,420.653015,420.653015,0
2008-03-03,415.950012,415.950012,415.950012,415.950012,415.950012,0
2008-03-04,412.540009,412.540009,412.540009,412.540009,412.540009,0
2008-03-05,409.694000,409.694000,409.694000,409.694000,409.694000,0
2008-03-06,394.832001,394.832001,394.832001,394.832001,394.832001,0
2008-03-07,396.489990,396.489990,396.489990,396.489990,396.489990,0
2008-03-10,385.391998,385.391998,385.391998,385.391998,385.391998,0
2008-03-11,412.919006,412.919006,412.919006,412.919006,412.919006,0
2008-03-12,404.450012,404.450012,404.450012,404.450012,404.450012,0
2008-03-13,406.625000,406.625000,406.625000,406.625000,406.625000,0
2008-03-14,391.515015,391.515015,391.515015,391.515015,391.515015,0
2008-03-17,385.584015,385.584015,385.584015,385.584015,385.584015,0
2008-03-18,415.742004,415.742004,415.742004,415.742004,415.742004,0
2008-03-19,407.889008,407.889008,407.889008,407.889008,407.889008,0
2008-03-20,434.158997,434.158997,434.158997,434.158997,434.158997,0
2008-03-24,437.369995,437.369995,437.369995,437.369995,437.369995,0
2008-03-25,436.945007,436.945007,436.945007,436.945007,436.945007,0
2008-03-26,422.757996,422.757996,422.757996,422.757996,422.757996,0
2008-03-27,414.317993,414.317993,414.317993,414.317993,414.317993,0
2008-03-28,406.467987,406.467987,406.467987,406.467987,406.467987,0
2008-03-31,410.059998,410.059998,410.059998,410.059998,410.059998,0
2008-04-01,438.795990,438.795990,438.795990,438.795990,438.795990,0
2008-04-02,436.239990,436.239990,436.239990,436.239990,436.239990,0
2008-04-03,438.149994,438.149994,438.149994,438.149994,438.149994,0
2008-04-04,431.782013,431.782013,431.782013,431.782013,431.782013,0
2008-04-07,435.585999,435.585999,435.585999,435.585999,435.585999,0
2008-04-08,428.544006,428.544006,428.544006,428.544006,428.544006,0
2008-04-09,420.739990,420.739990,420.739990,420.739990,420.739990,0
2008-04-10,419.855988,419.855988,419.855988,419.855988,419.855988,0
2008-04-11,412.501007,412.501007,412.501007,412.501007,412.501007,0
2008-04-14,403.238007,403.238007,403.238007,403.238007,403.238007,0
2008-04-15,407.765991,407.765991,407.765991,407.765991,407.765991,0
2008-04-16,420.984985,420.984985,420.984985,420.984985,420.984985,0
2008-04-17,426.457001,426.457001,426.457001,426.457001,426.457001,0
2008-04-18,433.156006,433.156006,433.156006,433.156006,433.156006,0
2008-04-21,426.149994,426.149994,426.149994,426.149994,426.149994,0
2008-04-22,422.524994,422.524994,422.524994,422.524994,422.524994,0
2008-04-23,419.773987,419.773987,419.773987,419.773987,419.773987,0
2008-04-24,434.934998,434.934998,434.934998,434.934998,434.934998,0
2008-04-25,441.516998,441.516998,441.516998,441.516998,441.516998,0
2008-04-28,441.303009,441.303009,441.303009,441.303009,441.303009,0
2008-04-29,438.737000,438.737000,438.737000,438.737000,438.737000,0
2008-04-30,434.406006,434.406006,434.406006,434.406006,434.406006,0
2008-05-01,450.945007,450.945007,450.945007,450.945007,450.945007,0
2008-05-02,451.778015,451.778015,451.778015,451.778015,451.778015,0
2008-05-05,446.190002,446.190002,446.190002,446.190002,446.190002,0
2008-05-06,449.843994,449.843994,449.843994,449.843994,449.843994,0
2008-05-07,434.282013,434.282013,434.282013,434.282013,434.282013,0
2008-05-08,429.664001,429.664001,429.664001,429.664001,429.664001,0
2008-05-09,426.069000,426.069000,426.069000,426.069000,426.069000,0
2008-05-12,433.636993,433.636993,433.636993,433.636993,433.636993,0
2008-05-13,428.204987,428.204987,428.204987,428.204987,428.204987,0
2008-05-14,431.846008,431.846008,431.846008,431.846008,431.846008,0
2008-05-15,436.902008,436.902008,436.902008,436.902008,436.902008,0
2008-05-16,431.406006,431.406006,431.406006,431.406006,431.406006,0
2008-05-19,429.423004,429.423004,429.423004,429.423004,429.423004,0
2008-05-20,420.843994,420.843994,420.843994,420.843994,420.843994,0
2008-05-21,410.764008,410.764008,410.764008,410.764008,410.764008,0
2008-05-22,414.325989,414.325989,414.325989,414.325989,414.325989,0
2008-05-23,407.420013,407.420013,407.420013,407.420013,407.420013,0
2008-05-27,411.121002,411.121002,411.121002,411.121002,411.121002,0
2008-05-28,408.734009,408.734009,408.734009,408.734009,408.734009,0
2008-05-29,415.329987,415.329987,415.329987,415.329987,415.329987,0
2008-05-30,412.562988,412.562988,412.562988,412.562988,412.562988,0
2008-06-02,405.761993,405.761993,405.761993,405.761993,405.761993,0
2008-06-03,403.653015,403.653015,403.653015,403.653015,403.653015,0
