Date,DJUSF
2008-11-05,258.89300499999996
2008-11-06,242.806
2008-11-07,248.99000499999997
2008-11-10,237.934006
2008-11-11,233.212006
2008-11-12,218.248001
2008-11-13,234.77600099999998
2008-11-14,222.016006
2008-11-17,210.468002
2008-11-18,209.449997
2008-11-19,185.998001
2008-11-20,167.951004
2008-11-21,174.824997
2008-11-24,203.91000400000001
2008-11-25,208.865997
2008-11-26,218.74000499999997
2008-11-28,224.11099199999998
2008-12-01,187.190002
2008-12-02,202.009995
2008-12-03,212.69500699999998
2008-12-04,208.279999
2008-12-05,225.54200699999998
2008-12-08,239.42799399999998
2008-12-09,227.40499900000003
2008-12-10,227.68299900000002
2008-12-11,208.932007
2008-12-12,214.751007
2008-12-15,206.970001
2008-12-16,229.04699700000003
2008-12-17,226.912994
2008-12-18,220.125
2008-12-19,222.02900699999998
2008-12-22,214.34399399999998
2008-12-23,210.901993
2008-12-24,214.141998
2008-12-26,214.63400299999998
2008-12-29,211.701004
2008-12-30,219.981003
2008-12-31,226.51499900000002
2009-01-02,228.645004
2009-01-05,223.55700699999997
2009-01-06,228.330002
2009-01-07,217.350998
2009-01-08,217.20300299999997
2009-01-09,209.940994
2009-01-12,198.942993
2009-01-13,202.154999
2009-01-14,191.225006
2009-01-15,184.076004
2009-01-16,181.61099199999998
2009-01-20,155.136002
2009-01-21,174.162003
2009-01-22,164.544998
2009-01-23,169.376999
2009-01-26,166.320007
2009-01-27,171.66099499999999
2009-01-28,190.860001
2009-01-29,175.875
2009-01-30,171.800995
2009-02-02,172.615005
2009-02-03,169.097
2009-02-04,167.300995
2009-02-05,169.966995
2009-02-06,182.257996
2009-02-09,184.184006
2009-02-10,166.373001
2009-02-11,173.740005
2009-02-12,172.320999
2009-02-13,165.591995
2009-02-17,151.733002
2009-02-18,151.615997
2009-02-19,144.496994
2009-02-20,143.557007
2009-02-23,138.378998
2009-02-24,152.550995
2009-02-25,151.408997
2009-02-26,152.91000400000001
2009-02-27,144.149994
2009-03-02,135.16000400000001
2009-03-03,133.110001
2009-03-04,132.796005
2009-03-05,120.999001
2009-03-06,119.480003
2009-03-09,121.208
2009-03-10,137.904999
2009-03-11,139.925995
2009-03-12,152.563995
2009-03-13,152.912003
2009-03-16,149.600006
2009-03-17,159.246994
2009-03-18,172.792007
2009-03-19,160.48100300000002
2009-03-20,153.132996
2009-03-23,177.098007
2009-03-24,165.973999
2009-03-25,172.565002
2009-03-26,174.988007
2009-03-27,169.084
2009-03-30,155.46899399999998
2009-03-31,165.125
2009-04-01,168.378006
2009-04-02,173.604996
2009-04-03,180.878006
2009-04-06,176.179993
2009-04-07,170.136993
2009-04-08,171.78100600000002
2009-04-09,194.936005
2009-04-13,202.854996
2009-04-14,188.011002
2009-04-15,197.686005
2009-04-16,199.244995
2009-04-17,201.348999
2009-04-20,180.054001
2009-04-21,194.51800500000002
2009-04-22,187.46000700000002
2009-04-23,194.363007
2009-04-24,199.184006
2009-04-27,192.884995
2009-04-28,190.64399699999998
2009-04-29,199.33999599999999
2009-04-30,197.787994
2009-05-01,194.487
2009-05-04,211.994003
2009-05-05,209.020996
2009-05-06,222.71299700000003
2009-05-07,215.01499900000002
2009-05-08,231.61300699999998
2009-05-11,217.431
